id,nickname,title,finishYn,ageGrade,dateCreated,averageScore,artist,latest_upload,last_chapter,img_url,page url,intro,genres,categories
1555,kimsagat,방랑시인 김삿갓,Y,0,20181002170046,9.932944606413994,제피가루/제피가루,20181121000000,8,http://t1.daumcdn.net/webtoon/op/989266b8bb5565ff7148a8dd2b814737b07cf6ee,http://webtoon.daum.net/webtoon/view/kimsagat,"조선 팔도를 유랑하던 김삿갓, 기생 연향과 김판서의 모략으로 고통받는 영월 사람들을 보게 되는데…",드라마,역사/시/설화/조선시대/스토리
1873,gotowork,내일도 출근!,N,0,20200109115902,9.932840348881305,맥퀸스튜디오/맥퀸스튜디오,20210307000100,57,http://t1.daumcdn.net/webtoon/op/4a919869d9607f2f6505da41e6c4342e7123d273,http://webtoon.daum.net/webtoon/view/gotowork,회사 최악의 까칠남 VS 결혼은 싫다며 도망간 전남친. 둘 중 누구를 선택해야지?!,순정/드라마,연애/삼각관계/직장생활/직장인/스토리
1358,SecondHome,두번째 집,Y,0,20170414112432,9.932214701115454,우현/우현,20180226000000,42,http://t1.daumcdn.net/cartoon/58F0326B023E740001,http://webtoon.daum.net/webtoon/view/SecondHome,우리 집은 이런 집이 될 수 없다,드라마,가족/설렘/짝사랑/이웃/스토리
1807,magesdaughter,대마법사의 딸,N,0,20190930121938,9.931993540283509,새벽애/문설아,20210307000100,61,http://t1.daumcdn.net/webtoon/op/40038ce03b7f36ac70d7f1b1e4dc3afa9550fc0c,http://webtoon.daum.net/webtoon/view/magesdaughter,줄곧 나를 미워한 부모님은 친부모님이 아니었다. 내게 진짜 아빠가 따로 있다고 한다. 그래서 떠났다. 친아빠에게로.,판타지/순정,육아/동화/딸/마법/스토리
1624,lineup,라인업,Y,0,20190129120715,9.931599229287091,라돌/라돌,20190429000000,12,http://t1.daumcdn.net/webtoon/op/ab5b41e6a610393088bf9712d29db624705b8b69,http://webtoon.daum.net/webtoon/view/lineup,"부산, 서핑! 삶에 무뎌진 청춘들에게 희망을 불어넣다!",스포츠/드라마,서핑/바다/성장드라마/스토리
1405,princessbari,바리공주,N,0,20171207120135,9.931507736129992,김나임/김나임,20210305000100,148,http://t1.daumcdn.net/webtoon/op/319d46d4def73f115b6a432eba8635332dd25dc7,http://webtoon.daum.net/webtoon/view/princessbari,무당이 되기 위한 소녀와 아내를 찾아 떠도는 남자의 조선시대 귀신 이야기,드라마/판타지,신화/귀신/전설/퇴마/스토리
1367,PoetrySun,태양의 시,Y,0,20170524155850,9.931427387611352,목인/목인,20190901000000,99,http://t1.daumcdn.net/webtoon/op/0b0090c058a397791c1b10b31f26373cded5c41c,http://webtoon.daum.net/webtoon/view/PoetrySun,그토록 찬란했던 태양빛도 영원할 순 없었다. 그리고 남은 건…,판타지/드라마,신화/퇴마/귀신/전설/스토리
1811,gyeongseong,경성이 서울을 만났을 때,Y,0,20191007104824,9.931216931216932,ZiV/채은유,20191210000000,10,http://t1.daumcdn.net/webtoon/op/04c6875f1908e685d0b720e74ca605fbfa725980,http://webtoon.daum.net/webtoon/view/gyeongseong,소녀상에 깃든 일제 강점기 소녀의 영혼이 이틀 동안 서울을 누비며 겪는 이야기,드라마/순정,일제강점기/서울/소녀/스토리
1963,marriedkiller,유부녀 킬러,N,15,20200512142644,9.930571510626077,검둥/YOON,20210306000100,42,http://t1.daumcdn.net/webtoon/op/133a15aceb0788a638dc2c905ea56017cb7ac513,http://webtoon.daum.net/webtoon/view/marriedkiller,"육아휴직을 마치고 회사로 돌아간 5년차 유부녀, 유보나의 비밀스러운 이중생활",드라마,킬러/여성 능력자/비밀/직장인/스토리
1415,findjuly,어쩌다 발견한 7월,Y,0,20180117221809,9.930462437682655,무류/무류,20190124000000,25,http://t1.daumcdn.net/webtoon/op/0cec6619c01b9245944f5f7a7aade90d20f0eb07,http://webtoon.daum.net/webtoon/view/findjuly,할 수 있는 게 이것 밖에 없었어. 단지 너를 만나러 가는 것.,순정/판타지,첫사랑/기억/연애/학교생활/스토리
1410,herosvariable,영웅의 변수,Y,0,20171227152451,9.9303738317757,정종수/정종수,20180125000100,5,http://t1.daumcdn.net/webtoon/op/e2a65561cc4c381a9477b4546d2feb7efdb6cd16,http://webtoon.daum.net/webtoon/view/herosvariable,슈퍼히어로를 동경하던 시골청년. 꿈을 이루다!,판타지/드라마,히어로/악당/초능력/격투/스토리
1454,friendcontract,계약우정,Y,15,20180410114006,9.930204752652818,권라드/권라드,20200714000000,100,http://t1.daumcdn.net/webtoon/op/a0c34e6dfc9b5ba5f9785a9de9d2559bfd43ace0,http://webtoon.daum.net/webtoon/view/friendcontract,두 고등학생의 '나'로 살아남기,드라마/학원,고등학생/우정/학교생활/폭력/스토리
1532,nightperfume,밤의 향,N,19,20180824151222,9.929882959304198,보리/보리,20210307000100,88,http://t1.daumcdn.net/webtoon/op/1215f1d5c2992124323269c777aac7c3142ffa21,http://webtoon.daum.net/webtoon/view/nightperfume,당신의 살내음과 여름밤의 향기를 난 평생 잊지 않을 거에요,순정/성인,조선시대
1855,yulmuartari,열무와 알타리,N,0,20191217115312,9.92928228544667,유영/유영,20210305000100,64,http://t1.daumcdn.net/webtoon/op/0413873c40dd7d5fb52fa7b75f3e210421b2e925,http://webtoon.daum.net/webtoon/view/yulmuartari,우리의 평범하고 특별한 일상들이 누군가에게 공감과 위로가 되길 바라며…,일상/코믹,가족/쌍둥이/육아/에피소드
1637,christmaswith,크리스마스는 쨈과 함께,Y,0,20190219101836,9.928853754940711,루시드/루시드,20190304102232,51,http://t1.daumcdn.net/webtoon/op/2fc6a96354cfa4c285a257852c86b452fd97ff5e,http://webtoon.daum.net/webtoon/view/christmaswith,"'개'로 추방된 악마 제임스, 다시 악마로 돌아가려면 사랑하는 주인을 죽여야 한다?!",판타지/드라마,악마/감동/천사/힐링/스토리
1863,parrot,그녀의 앵무새,A,0,20191230100836,9.928763112954378,금계수/금계수,20201013000000,42,http://t1.daumcdn.net/webtoon/op/7b1597e1130e182b8f152d39dabfbd6287b5e628,http://webtoon.daum.net/webtoon/view/parrot,현실적인 삶을 사는 은행원 '진아'와 이상적인 삶을 추구하는 정체불명 앵무새 '호두'. 두 상극이 만나며 벌어지는 이야기.,순정/드라마,청춘/연애/사랑/새/스토리/에피소드
40,perfect,퍼펙트 게임,Y,0,20070903083015,9.928595448940701,장이/장이,20170928000000,228,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/56B167F50651800001,http://webtoon.daum.net/webtoon/view/perfect,"치열한 직장인의 삶과 야구인으로서의 삶, 대한민국 최초의 사회인 야구만화 <퍼펙트 게임>",스포츠,야구/감동/직장생활/스토리
