,title,finishYn,Score,artist,latest_upload,page url,intro,genres,form,id,img_url
21,나는 어디에 있는 거니,Y,"
9.83
",서나래,2009.10.11,http://comic.naver.com/webtoon/list?titleId=72498,"무작정 떠나고 본다!!여행 준비부터 엉망진창,낢이 들려주는 네팔 여행기",daily,scroll,72498,https://shared-comic.pstatic.net/thumb/webtoon/72498/thumbnail/title_thumbnail_20090629120604_t83x90.jpg
22,혈액형에 관한 간단한 고찰,Y,"
9.89
",박동선,2015.02.27,http://comic.naver.com/webtoon/list?titleId=316914,"섬세하고 자유분방한, 우유부단 하면서 분석력 있는 서로 다른 혈액형들 사이에서 벌어지는 좌충우돌 유쾌한 에피소드.",daily,scroll,316914,https://shared-comic.pstatic.net/thumb/webtoon/316914/thumbnail/title_thumbnail_20110401184237_t83x90.jpg
23,스마트폰 게임 개발 이야기,Y,"
9.74
",유영욱,2012.12.29,http://comic.naver.com/webtoon/list?titleId=403631,생생한 게임 개발의 현장을 전한다! 유쾌발랄 좌충우돌 게임 개발 이야기.,daily,scroll,403631,https://shared-comic.pstatic.net/thumb/webtoon/403631/thumbnail/title_thumbnail_20111108155817_t83x90.jpg
24,모두에게 완자가,Y,"
9.71
",완자,2015.02.14,http://comic.naver.com/webtoon/list?titleId=471283,아무도 눈치보지 않고 사랑할 수 있는 그날이 오기를! 사랑하며 살아가는 그녀들의 일상이야기,daily,scroll,471283,https://shared-comic.pstatic.net/thumb/webtoon/471283/thumbnail/title_thumbnail_20140219203311_t83x90.JPG
25,일상날개짓,Y,"
9.94
",나유진,2013.05.19,http://comic.naver.com/webtoon/list?titleId=55143,싱글맘 꼬꼬댁씨와 그의 아들 아기새가 살아가는 투닭투닭 성장스토리! 사랑스러운 이들의 시즌2,daily,scroll,55143,https://shared-comic.pstatic.net/thumb/webtoon/55143/thumbnail/title_thumbnail_20120329122039_t83x90.jpg
26,낢이 사는 이야기,Y,"
9.88
",서나래,2020.08.12,http://comic.naver.com/webtoon/list?titleId=752390,"혼란의 도가니인 인생 속에서 울고, 웃고, 먹고, 마신다!십년 넘게 이어지는 소소한 낢의 사생활 이야기. 오늘도 삶은 계속됩니다.",daily,scroll,752390,https://shared-comic.pstatic.net/thumb/webtoon/752390/thumbnail/thumbnail_IMAG10_9556b5cf-e7a3-4313-83dd-3f8e42028b9d.jpg
27,2017 사이다를 부탁해!,Y,"
9.78
",웹툰작가,2017.03.18,http://comic.naver.com/webtoon/list?titleId=690502,고구마 10000개를 삼킨 것 같은 실제 사연을독자들로부터 직접 받아서 네이버 웹툰 작가들이 새롭게 들려드립니다!,daily,scroll,690502,https://shared-comic.pstatic.net/thumb/webtoon/690502/thumbnail/thumbnail_IMAG10_75ae3cff-ce92-4177-8940-f0885690470f.jpg
28,한국만화 또 다른 시선,Y,"
9.75
",웹툰작가,2019.07.13,http://comic.naver.com/webtoon/list?titleId=723862,또 다른 만화를 제안하다인디 웹툰 단편집,daily,scroll,723862,https://shared-comic.pstatic.net/thumb/webtoon/723862/thumbnail/thumbnail_IMAG10_c4c49e67-5565-4e1c-b2ca-e69958aa7a25.jpg
29,한 살이라도 어릴 때,Y,"
9.95
","김진, 서나래, ...",2012.11.30,http://comic.naver.com/webtoon/list?titleId=500945,"'낢이사는이야기'의 서나래 & '나이스진타임'의 김진 & '고양이일기'의 필냉이, 그녀들이 뭉쳤다! 한 살이라도 어릴 때 떠나야 한다! 언제? 바로 지금! 잘나가는 그녀들의 여행기.",daily,scroll,500945,https://shared-comic.pstatic.net/thumb/webtoon/500945/thumbnail/title_thumbnail_20120828171422_t83x90.jpg
30,낢에게와요,Y,"
9.88
",서나래,2010.07.04,http://comic.naver.com/webtoon/list?titleId=148975,"누군가를 사랑하는 것이 세상에서 제일 어려운, 연애의 은총에서 소외된 자들. 그러나 그들도 사랑을 한다! 신입생 낢과 친구들의 풋풋하고 어설픈 좌충우돌 짝사랑 이야기.",daily,scroll,148975,https://shared-comic.pstatic.net/thumb/webtoon/148975/thumbnail/title_thumbnail_20100329113546_t83x90.jpg
31,힘내요 일본!-[릴레이웹툰],Y,"
6.98
",웹툰작가,2011.03.25,http://comic.naver.com/webtoon/list?titleId=312979,네이버 웹툰작가들이 지진해일로 어려운 상황을 맞은 일본을 응원합니다.,daily,scroll,312979,https://shared-comic.pstatic.net/thumb/webtoon/312979/thumbnail/title_thumbnail_20110319175017_t83x90.jpg
32,한국만화 1990,Y,"
9.75
",웹툰작가,2018.05.17,http://comic.naver.com/webtoon/list?titleId=703840,"1990년대 데뷔한, 인기 만화가들의 단편 특집",daily,scroll,703840,https://shared-comic.pstatic.net/thumb/webtoon/703840/thumbnail/thumbnail_IMAG10_6491af9f-a7b8-4894-bc2a-c082d1f5970b.jpg
33,패밀리 사이즈,Y,"
9.96
",남지은 / 김인호,2020.09.28,http://comic.naver.com/webtoon/list?titleId=626906,삼형제와 이제막 태어난 막내딸까지!결혼 십 년 차에 가족의 규모(패밀리 사이즈)가 부쩍 커진한 만화가 부부의 육아와 삶 이야기,daily,scroll,626906,https://shared-comic.pstatic.net/thumb/webtoon/626906/thumbnail/title_thumbnail_20150810235651_t83x90.jpg
34,고시생툰,Y,"
9.92
",seri,2012.04.30,http://comic.naver.com/webtoon/list?titleId=317365,대학입학. 그로부터 몇 년. 공부하는 우리들의 빛나는 청춘.,daily,scroll,317365,https://shared-comic.pstatic.net/thumb/webtoon/317365/thumbnail/title_thumbnail_20111205112214_t83x90.jpg
35,우바우,Y,"
9.97
",잇선,2016.12.28,http://comic.naver.com/webtoon/list?titleId=651675,우리가 바라는 우리.시궁창 같은 삶이라도 바라는 건 많아.,daily,컷툰,651675,https://shared-comic.pstatic.net/thumb/webtoon/651675/thumbnail/title_thumbnail_20150410221752_t83x90.jpg
36,판다독,Y,"
9.84
",판다독,2016.07.03,http://comic.naver.com/webtoon/list?titleId=61731,"엄마 피그독, 여동생 펭귄독과 함께 사는 귀차니즘의 왕자 판다독이 캐릭터 회사에 디자이너로 취업해 첫 사회 생활을 시작하며 펼치는 좌충우돌 리얼 스토리!",daily,scroll,61731,https://shared-comic.pstatic.net/thumb/webtoon/61731/thumbnail/title_thumbnail_20160425002734_t83x90.jpg
37,Penguin loves Mev,Y,"
9.96
",펭귄,2018.05.29,http://comic.naver.com/webtoon/list?titleId=169080,한국여자 펭귄과 영국남자 메브의 엉뚱 발랄 러브 스토리.시즌3 In the UK.,daily,scroll,169080,https://shared-comic.pstatic.net/thumb/webtoon/169080/thumbnail/title_thumbnail_20140731163812_t83x90.jpg
38,사소한 냐냐,Y,"
9.86
",LICO,2020.07.05,http://comic.naver.com/webtoon/list?titleId=730811,움직이는 웹툰 숏애니! 4개월 이후 중성화 수술을 하게 되는 '냐냐'과연 사.소(사이코패스+소시오패스)한 고양이로 거듭나 땅콩을 사수할 수 있을까?!,daily,scroll,730811,https://shared-comic.pstatic.net/thumb/webtoon/730811/thumbnail/thumbnail_IMAG10_50d81076-1442-437a-8a04-1b1dab7254c5.jpg
39,텍사스홀덤,Y,"
9.87
",onesound,2020.05.28,http://comic.naver.com/webtoon/list?titleId=746746,흥미진진 승부사의 세계,daily,scroll,746746,https://shared-comic.pstatic.net/thumb/webtoon/746746/thumbnail/thumbnail_IMAG10_d2229e2a-f13a-485d-9470-9654dde6a399.jpg
40,아기낳는만화,Y,"
9.82
",쇼쇼,2018.06.27,http://comic.naver.com/webtoon/list?titleId=703837,임신과 출산에 대해 아무것도 몰랐던 나... 반성합니다.엄청난 변화와 위기를 몰고온 진짜 임신 충격 실화!,daily,scroll,703837,https://shared-comic.pstatic.net/thumb/webtoon/703837/thumbnail/thumbnail_IMAG10_818effb7-d779-46e2-a7c8-0657131692cc.jpg
41,아랫집 시누이,Y,"
9.95
",김진,2013.12.22,http://comic.naver.com/webtoon/list?titleId=563782,"대를 물려 내려오는 고부갈등? 노노!시월드, 이제는 무섭지 않아요!",daily,scroll,563782,https://shared-comic.pstatic.net/thumb/webtoon/563782/thumbnail/title_thumbnail_20130607184714_t83x90.jpg
42,한국만화거장전,Y,"
9.89
",한국만화가협회,2014.03.10,http://comic.naver.com/webtoon/list?titleId=590252,"한국만화의 전설을 만나다오늘날 한국만화를 있게 한 거장들이 들려주는 새로운 이야기,이제 웹툰으로 만나보세요!",daily,scroll,590252,https://shared-comic.pstatic.net/thumb/webtoon/590252/thumbnail/title_thumbnail_20130930175540_t83x90.jpg
43,오늘 밤은 어둠이 무서워요,Y,"
9.96
",김진,2015.03.17,http://comic.naver.com/webtoon/list?titleId=632342,"뜻하지 않은 시기, 어쩌다 시작된 김진의 독립생활.그녀의 자취생활과 그녀의 연애 이야기.",daily,scroll,632342,https://shared-comic.pstatic.net/thumb/webtoon/632342/thumbnail/title_thumbnail_20140921225747_t83x90.jpg
44,웅이는 배고파,Y,"
9.73
",박웅,2020.10.17,http://comic.naver.com/webtoon/list?titleId=697535,배고픈 웅이의 먹부림 이야기,daily,scroll,697535,https://shared-comic.pstatic.net/thumb/webtoon/697535/thumbnail/thumbnail_IMAG10_18d07ed4-3a67-4e36-8406-c7d78f7aa163.jpg
45,낢 부럽지 않은 신혼여행기,Y,"
9.96
",서나래,2015.05.28,http://comic.naver.com/webtoon/list?titleId=651670,유럽 여행기의 탈을 쓸 낢의 신혼여행기. 서나래 작가의 컷툰 신작!,daily,컷툰,651670,https://shared-comic.pstatic.net/thumb/webtoon/651670/thumbnail/title_thumbnail_20150406192153_t83x90.jpg
46,2016 학교 다녀오겠습니다,Y,"
9.41
",웹툰작가,2016.05.03,http://comic.naver.com/webtoon/list?titleId=675556,신학기가 외롭고 힘든 당신을 위해 준비했다웹툰작가들의 개그 단편선,daily,컷툰,675556,https://shared-comic.pstatic.net/thumb/webtoon/675556/thumbnail/title_thumbnail_20160307225408_t83x90.jpg
47,부부생활,Y,"
9.94
",써니사이드업,2017.06.25,http://comic.naver.com/webtoon/list?titleId=675559,유부들도 안 알랴준 유부 이야기,daily,컷툰,675559,https://shared-comic.pstatic.net/thumb/webtoon/675559/thumbnail/title_thumbnail_20160304120749_t83x90.jpg
48,내 어린고양이와 늙은개,Y,"
9.91
",초,2020.02.15,http://comic.naver.com/webtoon/list?titleId=720120,"서로의 시점으로 그린,반려동물과 함께 사는 이야기",daily,scroll,720120,https://shared-comic.pstatic.net/thumb/webtoon/720120/thumbnail/thumbnail_IMAG10_97de015a-6d49-442e-8fd9-ddee2c1ed6b7.jpg
49,만화사랑 캠페인,Y,"
6.27
",웹툰작가,2012.01.22,http://comic.naver.com/webtoon/list?titleId=409100,"윤인완&곽재용, 이준익&형민우, 최현우&하일권, 이말년&이제석, 최훈&최희 등 각계각층을 대표하는 전문가들과 최고의 만화가들의 만남!",daily,scroll,409100,https://shared-comic.pstatic.net/thumb/webtoon/409100/thumbnail/title_thumbnail_20111117155436_t83x90.jpg
50,아프니까 병원이다,Y,"
9.89
",고리타,2014.11.28,http://comic.naver.com/webtoon/list?titleId=608258,"환자의 입장에서 그리는 병원에서의 일상 가끔은 슬프고, 또 가끔은 가슴뭉클한 진짜 병원 생활기",daily,scroll,608258,https://shared-comic.pstatic.net/thumb/webtoon/608258/thumbnail/title_thumbnail_20140108164402_t83x90.jpg
51,구석구석캠페인,Y,"
9.21
",네이버 웹툰 작가,2008.03.06,http://comic.naver.com/webtoon/list?titleId=24777,“여기가 정말 대한민국?” 주말에 여행할 곳을 찾고 있다면~ 네이버 웹툰 작가들과 함께 대한민국의 구석구석으로 신나는 여행을 떠나보자!,daily,scroll,24777,https://shared-comic.pstatic.net/thumb/webtoon/24777/thumbnail/thumbnail_title_24777_83x90.gif
52,부토,Y,"
9.92
",정현주,2012.04.24,http://comic.naver.com/webtoon/list?titleId=400738,"'Trump!(트럼프)' 정현주 작가의 웹툰 신작!! 우정, 수련과 결투, 승리, 출생의 비밀... 에 대한 얘기는 아닌 것 같습니다.",daily,scroll,400738,https://shared-comic.pstatic.net/thumb/webtoon/400738/thumbnail/title_thumbnail_20111128185258_t83x90.jpg
53,천적,Y,"
9.83
",꼬마비 / 재수,2016.02.04,http://comic.naver.com/webtoon/list?titleId=656469,일반 사람들의 일상 대결이 펼쳐진다 무규칙 일상 배틀 생중계!,daily,scroll,656469,https://shared-comic.pstatic.net/thumb/webtoon/656469/thumbnail/title_thumbnail_20151126162452_t83x90.jpg
54,미쳐 날뛰는 생활툰,Y,"
9.79
",Song,2014.11.14,http://comic.naver.com/webtoon/list?titleId=616883,만화가가 되고 싶었던 나날가볍게 그려본 생활툰 하나에 격동하는 주변의 이야기,daily,scroll,616883,https://shared-comic.pstatic.net/thumb/webtoon/616883/thumbnail/title_thumbnail_20140313190952_t83x90.jpg
55,잡다한컷,Y,"
9.91
",그림왕양치기,2017.07.13,http://comic.naver.com/webtoon/list?titleId=687610,잡다하지 않은 우리들 이야기.Job! 多! 한! 컷!,daily,컷툰,687610,https://shared-comic.pstatic.net/thumb/webtoon/687610/thumbnail/title_thumbnail_20161103230036_t83x90.jpg
56,개편 축하 릴레이 카툰,Y,"
9.55
",네이버웹툰작가,2008.11.11,http://comic.naver.com/webtoon/list?titleId=50422,"보다 재미있고, 보다 다양한 웹툰의 세계, 네이버 만화가 개편되었습니다.네이버 웹툰 개편을 축하하기 위하여 많은 프로 작가님들이 릴레이 축하 카툰을 선보입니다.",daily,scroll,50422,https://shared-comic.pstatic.net/thumb/webtoon/50422/thumbnail/title_thumbnail_20081030133244_t83x90.gif
57,스마일브러시,Y,"
9.94
",와루,2010.06.26,http://comic.naver.com/webtoon/list?titleId=150389,반복되는 일상에서 발생하는 사건 사고들. 소심하지만 할 말은 하는 가슴 따스한 와루의 좌충우돌 일상의 반전 에피소드.,daily,scroll,150389,https://shared-comic.pstatic.net/thumb/webtoon/150389/thumbnail/title_thumbnail_20100610110221_t83x90.jpg
58,아이키우는만화,Y,"
9.46
",쇼쇼,2020.04.29,http://comic.naver.com/webtoon/list?titleId=737835,아기를 낳는다고 끝은 더더욱 아니지출산 후 펼쳐지는 어나더 레벨의 세상!,daily,scroll,737835,https://shared-comic.pstatic.net/thumb/webtoon/737835/thumbnail/thumbnail_IMAG10_fb981ccf-345c-464c-9ed0-0ad4d38cca7a.jpg
59,오빠야 누나야,Y,"
9.62
",긴유,2020.06.29,http://comic.naver.com/webtoon/list?titleId=748408,우리 오빠들은 허락 못한다!그건 누나들도 마찬가지거든?!,daily,scroll,748408,https://shared-comic.pstatic.net/thumb/webtoon/748408/thumbnail/thumbnail_IMAG10_e7eda045-e2af-4206-956a-17948cfb407f.jpg
60,와장창창! 자취맨,Y,"
9.95
",폭타,2019.02.14,http://comic.naver.com/webtoon/list?titleId=711899,자취인생의 리얼함을 보여준다!세 남자의 엉망진창 자취 이야기!!,daily,scroll,711899,https://shared-comic.pstatic.net/thumb/webtoon/711899/thumbnail/thumbnail_IMAG10_c071339d-044d-43dc-9232-b3625a35d733.jpg
61,"스마일 브러시, 오래된 사진.",Y,"
9.94
",와루,2011.07.29,http://comic.naver.com/webtoon/list?titleId=183558,오래된 사진에서 찾아보는 어린 시절의 이야기. 당신의 앨범에서 잃어버렸던 추억을 찾아보세요.,daily,scroll,183558,https://shared-comic.pstatic.net/thumb/webtoon/183558/thumbnail/title_thumbnail_20100630150811_t83x90.jpg
62,엄마와 딸 x2,Y,"
9.97
",필냉이,2016.03.10,http://comic.naver.com/webtoon/list?titleId=640050,"인자한 외할머니, 깐깐한 엄마, 엉뚱한 딸이 한 집에 살게 되었다?!본격 삼대모녀 티격태격 생활기",daily,scroll,640050,https://shared-comic.pstatic.net/thumb/webtoon/640050/thumbnail/title_thumbnail_20141104165449_t83x90.jpg
63,고(故)길창덕화백 추모웹툰,Y,"
9.76
",웹툰작가,2010.02.10,http://comic.naver.com/webtoon/list?titleId=132459,"대한민국 1세대 만화가이자 ,,등 한국 명랑만화의 효시가 되신 故길창덕 선생님.우리에게 ‘만화의 즐거움’을 선물해 주신 선생님께 네이버 웹툰 작가들이 추모 웹툰을 올립니다.",daily,scroll,132459,https://shared-comic.pstatic.net/thumb/webtoon/132459/thumbnail/title_thumbnail_20100205135229_t83x90.jpg
64,우리 사장님은 개,Y,"
9.96
",레나,2020.12.21,http://comic.naver.com/webtoon/list?titleId=761246,펫시터 알바를 하게 된 알바군. 어떤 강아지를 만나게 될까 두근거리는 마음으로 사장님을 찾아가는데… 그 사장님이 거대한 시베리아 허스키?! 알바군과 그의 사장님의 즐거운 일상 이야기!,daily,scroll,761246,https://shared-comic.pstatic.net/thumb/webtoon/761246/thumbnail/thumbnail_IMAG10_41fb116c-9c4f-4b63-885a-398a7eca9e48.jpg
65,피터팬날다,Y,"
8.82
",서랍천사,2010.11.29,http://comic.naver.com/webtoon/list?titleId=137710,한국콘텐츠진흥원과 함께하는 2009 네이버 웹툰 공모전 가작 수상작 소년의 마음을 가진 32살 피태풍. 현실에 적응하지 못하는 듯 하지만 삶에 대한 애착과 느림에 대한 철학이 있는...,daily,scroll,137710,https://shared-comic.pstatic.net/thumb/webtoon/137710/thumbnail/title_thumbnail_20100222121933_t83x90.jpg
